Continent,Country/Region,Lat,Long,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020
Asia,Kazakhstan,48.0196,66.9237,0,0,0,0,0,0,0,10,62,302,662,1091,1852,2835,4049,5207,6751,8969,11308,12859,15192,18231,21819,49683,61755,73468,84648,93820,100164,103300,104902,105872,106425,106920
Asia,"Korea, South",35.907757,127.766922,4,15,27,30,833,4335,7478,8236,8961,9661,10284,10537,10674,10752,10804,10936,11078,11225,11541,11852,12155,12484,12800,13181,13512,13816,14203,14423,14660,15761,17945,20182,21432,22391
Asia,Kuwait,29.31166,47.481766,0,0,0,0,1,56,64,123,189,266,665,1300,1995,3288,5278,9286,15691,21967,27762,32510,36431,40291,45524,50644,55508,59763,64379,68299,72400,76827,80960,85109,90387,95472
Asia,Kyrgyzstan,41.20438,74.766098,0,0,0,0,0,0,0,0,16,94,216,419,568,695,830,1016,1216,1433,1817,2032,2472,3356,5296,8141,11444,27143,33296,37129,40085,41991,43126,43898,44458,44928
Asia,Laos,19.85627,102.495496,0,0,0,0,0,0,0,0,0,8,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,22,22,22,22,23
Asia,Lebanon,33.8547,35.8623,0,0,0,0,1,13,32,110,267,446,541,632,677,710,740,859,931,1119,1233,1350,1464,1603,1745,1885,2419,2905,3882,5062,6812,9337,13155,17308,20826,25401
Asia,Malaysia,4.210484,101.975766,4,8,18,22,22,29,117,566,1518,2626,3793,4817,5425,5820,6353,6726,6941,7417,7857,8329,8494,8587,8637,8668,8725,8800,8904,9001,9094,9212,9274,9340,9459,9946
Asia,Maldives,3.2028,73.2207,0,0,0,0,0,0,4,13,13,17,19,20,69,226,541,897,1106,1395,1829,1916,2065,2217,2337,2491,2762,2999,3369,4293,5157,5909,6912,7804,8667,9243
Asia,Mongolia,46.8625,103.8467,0,0,0,0,0,0,0,1,10,12,15,17,33,38,40,42,140,141,185,194,197,215,220,225,243,287,289,293,293,298,298,304,310,311
Asia,Nepal,28.1667,84.25,1,1,1,1,1,1,1,1,2,5,9,14,31,52,75,134,375,682,1811,3762,6211,9561,13248,15964,16945,17844,18752,20750,23310,27241,32678,39460,47236,55329
Asia,Oman,21.512583,55.923255,0,0,0,0,2,6,16,22,66,179,331,727,1410,2049,2637,3573,5379,7770,12223,17486,24524,31076,39060,47735,58179,68400,77058,79159,81787,83226,84509,85722,87328,90222
Asia,Pakistan,30.3753,69.3451,0,0,0,0,0,5,16,236,972,1938,4035,5837,9565,14612,22049,34336,43966,57705,76398,108317,148921,185034,209337,234509,253604,266096,274289,280461,284660,289215,293261,295849,299233,302424
Asia,Philippines,12.879721,121.774017,0,2,3,3,3,3,20,142,462,1546,3660,4932,6459,7777,9485,11086,12718,14319,18638,22474,26420,30682,36438,46333,57006,68898,82040,106330,136638,164474,194252,220819,238727,265888
Asia,Qatar,25.3548,51.1839,0,0,0,0,0,3,18,439,501,693,1832,3231,6015,11244,16191,23623,33969,45465,58433,70158,80876,88403,95106,100345,104016,107037,109597,111322,113262,115368,117266,118778,120348,121975
Asia,Russia,61.52401,105.318756,0,2,2,2,2,3,17,90,438,1836,6343,18328,47121,87147,145268,221344,290678,353427,414328,476043,536484,591465,640246,686852,732547,776212,816680,854641,890799,925558,959016,992402,1027334,1064438
Asia,Saudi Arabia,23.885942,45.079162,0,0,0,0,0,1,15,118,562,1453,2605,4934,10484,18811,28656,41014,57345,74795,87142,105283,132048,161005,186436,213716,235111,253349,268934,280093,289947,299914,308654,315772,321456,326258
Asia,Singapore,1.2833,103.8333,5,18,45,77,89,108,150,243,509,879,1375,2918,8014,14423,18778,23822,28343,31960,35292,38296,40818,42313,43661,44983,46283,48035,50838,53051,55292,55838,56404,56812,57044,57454
